Date,Price,Open,High,Low,Vol.,Change %
3/1/2019,"110,654.00","112,611.00","112,611.00","110,654.00",1.04M,0.21%
3/4/2019,"111,828.00","110,732.00","112,611.00","110,732.00",1.05M,1.06%
3/5/2019,"111,124.00","111,515.00","111,750.00","110,811.00",639.01K,-0.63%
3/6/2019,"110,341.00","111,124.00","111,750.00","108,385.00",853.50K,-0.70%
3/7/2019,"109,324.00","110,576.00","111,124.00","109,167.00",849.60K,-0.92%
3/8/2019,"107,211.00","108,776.00","109,167.00","106,115.00",1.18M,-1.93%
3/11/2019,"107,680.00","106,820.00","108,698.00","106,820.00",507.72K,0.44%
3/12/2019,"108,776.00","107,993.00","109,167.00","107,993.00",672.43K,1.02%
3/13/2019,"108,228.00","109,167.00","109,637.00","108,150.00",739.21K,-0.50%
3/14/2019,"107,367.00","108,776.00","108,776.00","106,976.00",1.11M,-0.80%
3/15/2019,"107,211.00","107,367.00","107,993.00","106,820.00",1.50M,-0.15%
3/18/2019,"107,993.00","107,993.00","108,463.00","107,602.00",1.09M,0.73%
3/19/2019,"107,133.00","107,993.00","107,993.00","106,898.00",1.12M,-0.80%
3/20/2019,"108,385.00","106,820.00","108,385.00","105,802.00",1.52M,1.17%
3/21/2019,"106,428.00","108,776.00","109,480.00","106,428.00",1.06M,-1.81%
3/22/2019,"106,820.00","106,428.00","107,211.00","106,037.00",631.88K,0.37%
3/25/2019,"106,820.00","105,411.00","106,820.00","105,333.00",699.10K,0.00%
3/26/2019,"106,820.00","106,820.00","107,524.00","106,428.00",821.36K,0.00%
3/27/2019,"106,820.00","106,898.00","107,367.00","106,663.00",818.40K,0.00%
3/28/2019,"105,802.00","106,741.00","106,820.00","105,802.00",980.12K,-0.95%
3/29/2019,"105,489.00","105,802.00","106,820.00","105,489.00",1.63M,-0.30%
4/1/2019,"108,463.00","106,037.00","108,463.00","105,646.00",956.06K,2.82%
4/2/2019,"108,776.00","109,480.00","109,480.00","107,446.00",1.48M,0.29%
4/3/2019,"108,385.00","108,776.00","108,776.00","107,680.00",820.76K,-0.36%
4/4/2019,"107,993.00","108,307.00","109,402.00","107,993.00",563.68K,-0.36%
4/5/2019,"106,663.00","107,993.00","107,993.00","106,663.00",1.22M,-1.23%
4/8/2019,"107,367.00","107,524.00","107,759.00","106,820.00",655.43K,0.66%
